section,group,ts_code,name,themes,episode_ids,n,positive_share,mean,median,p25,p75,min,max,partial_year_n,return,rank,label
bottom20,,002788.SZ,鹭燕医药,医药,EP000153,,,,,,,,,,-0.4712892552,20,hindsight descriptive; not an investment ranking
top20,,603629.SH,利通电子,算力,EP000712,,,,,,,,,,5.4220771881,1,hindsight descriptive; not an investment ranking
top20,,603580.SH,艾艾精工,实控人变更,EP000654;EP000757,,,,,,,,,,4.2799949311,2,hindsight descriptive; not an investment ranking
top20,,600396.SH,华电辽能,电力;绿色电力;风电,EP000346;EP000357;EP000460;EP000464,,,,,,,,,,3.8210519261,3,hindsight descriptive; not an investment ranking
top20,,002980.SZ,华盛昌,并购重组;通信,EP000323;EP000447;EP000506,,,,,,,,,,3.8077831344,4,hindsight descriptive; not an investment ranking
top20,,002636.SZ,金安国纪,年报增长;通信,EP000041;EP000230,,,,,,,,,,3.5444043716,5,hindsight descriptive; not an investment ranking
top20,,301526.SZ,国际复材,通信,EP000695,,,,,,,,,,3.4304716027,6,hindsight descriptive; not an investment ranking
top20,,603823.SH,百合花,化工,EP000010,,,,,,,,,,3.3678492895,7,hindsight descriptive; not an investment ranking
top20,,603618.SH,杭电股份,通信,EP000260;EP000282,,,,,,,,,,3.3411663277,8,hindsight descriptive; not an investment ranking
top20,,603407.SH,长裕集团,非金属材料,EP000588,,,,,,,,,,3.1407058717,9,hindsight descriptive; not an investment ranking
top20,,603115.SH,海星股份,元器件;电阻电容,EP000508;EP000582,,,,,,,,,,3.0793327727,10,hindsight descriptive; not an investment ranking
top20,,301396.SZ,宏景科技,算力,EP000218,,,,,,,,,,2.8909518350,11,hindsight descriptive; not an investment ranking
top20,,003036.SZ,泰坦股份,通信,EP000465,,,,,,,,,,2.8545643093,12,hindsight descriptive; not an investment ranking
top20,,301362.SZ,民爆光电,并购重组,EP000270,,,,,,,,,,2.8390653941,13,hindsight descriptive; not an investment ranking
top20,,002491.SZ,通鼎互联,通信,EP000375;EP000465,,,,,,,,,,2.7033267701,14,hindsight descriptive; not an investment ranking
top20,,603186.SH,华正新材,通信,EP000520,,,,,,,,,,2.6839769551,15,hindsight descriptive; not an investment ranking
top20,,688432.SH,有研硅,硅片,EP000612,,,,,,,,,,2.6513625266,16,hindsight descriptive; not an investment ranking
top20,,601869.SH,长飞光纤,通信,EP000147;EP000375,,,,,,,,,,2.6001371087,17,hindsight descriptive; not an investment ranking
top20,,000636.SZ,风华高科,元器件,EP000701,,,,,,,,,,2.4377375656,18,hindsight descriptive; not an investment ranking
top20,,003018.SZ,金富科技,包装印刷;算力;通信,EP000055;EP000091;EP000778,,,,,,,,,,2.4076919233,19,hindsight descriptive; not an investment ranking
top20,,603435.SH,嘉德利,元器件,EP000672,,,,,,,,,,2.3090083586,20,hindsight descriptive; not an investment ranking
